_id,username,phone,email,productId,quanlity,status,createdBy._id,createdBy.username,deletedAt,isDeleted,createdAt,updatedAt,__v,updatedBy._id,updatedBy.username
66a55c08e0b5512cdc16a284,Suki Teissier,156-424-7729,steissier0@instagram.com,66a40b5551c7c988b1e2a245,10,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:52.936Z,2024-07-27T22:07:01.326Z,0,669b6668adced1f470625688,buitanphat1
66a55c08e0b5512cdc16a286,Georgi Vanyashkin,351-547-6067,gvanyashkin1@weibo.com,66a40b5751c7c988b1e2a277,7,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:52.984Z,2024-07-27T20:43:52.984Z,0,,
66a55c09e0b5512cdc16a288,Mira Doniso,888-383-2690,mdoniso2@ucsd.edu,66a40b5551c7c988b1e2a243,8,PENDING RECEIPT,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.031Z,2024-07-27T23:41:08.671Z,0,669b6668adced1f470625688,buitanphat1
66a55c09e0b5512cdc16a28a,Flory Beardshall,882-849-7872,fbeardshall3@icio.us,66a40b5751c7c988b1e2a27f,6,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.077Z,2024-07-27T20:43:53.077Z,0,,
66a55c09e0b5512cdc16a28c,Burk Loram,768-391-0420,bloram4@goodreads.com,66a40b5551c7c988b1e2a251,2,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.123Z,2024-07-27T20:43:53.123Z,0,,
66a55c09e0b5512cdc16a28e,Orren Wahner,369-267-3342,owahner5@technorati.com,66a40b5651c7c988b1e2a265,6,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.170Z,2024-07-27T20:43:53.170Z,0,,
66a55c09e0b5512cdc16a290,Phillis Emlen,253-649-4637,pemlen6@domainmarket.com,66a40b5651c7c988b1e2a25b,1,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.216Z,2024-07-27T20:43:53.216Z,0,,
66a55c09e0b5512cdc16a292,Jae Ewer,418-880-9629,jewer7@pbs.org,66a40b5651c7c988b1e2a26f,8,PENDING RECEIPT,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.262Z,2024-07-27T23:45:55.574Z,0,669b6668adced1f470625688,buitanphat1
66a55c09e0b5512cdc16a294,Maureene Degoe,855-579-7207,mdegoe8@odnoklassniki.ru,66a40b5651c7c988b1e2a26d,1,CART,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.310Z,2024-07-27T20:43:53.310Z,0,,
66a55c09e0b5512cdc16a296,Jaynell Seeler,234-991-0721,jseeler9@businessweek.com,66a40b5651c7c988b1e2a263,9,PENDING RECEIPT,669b6668adced1f470625688,buitanphat1,,false,2024-07-27T20:43:53.358Z,2024-07-27T23:45:59.424Z,0,669b6668adced1f470625688,buitanphat1
